Domain,Economic,Economic,Economic,Economic,Educational,Educational,Educational,Geographical,Geographical,Geographical,Geographical,Geographical,Geographical
Group,High-income,Low-income,Lower-middle,Upper-middle,High (>90%),Low (<50%),Medium (50-90%),East Asia/Pacific,Europe/CA/NA,LAC,MENA,South Asia,Sub-Saharan Africa
Feature,,,,,,,,,,,,,
academic,2.076129172279452,2.263503071313613,2.095908550739088,2.0931220766960728,1.8945285566428074,1.561626475402249,2.5044767125297054,2.249505692828753,1.9763556944253458,2.1496828518728903,1.8069747908415446,3.0844077921979505,2.1754269166082194
bridging,0.5681961828468588,0.8810134024999935,0.7623808036643619,0.60669454171452,0.63106829346057,0.8604170269802082,0.6814716454876194,0.5085024214727775,0.6435944658540713,0.589362778641886,0.6488856845230502,0.8447315719040154,0.8220261251046769
flesch_reading_ease,2.8602422551114417,2.298138888902385,2.1036576132931124,2.362057399871611,2.9113144037990444,2.3012632227818677,2.227105006071745,2.4052280756024333,2.801884748959391,2.4332784939866174,3.416586210873558,2.1550439807163273,2.1059069214012363
grammatical_analysis,36.28648426194197,40.161015157258404,38.140437376429105,42.31321894578756,35.93822164883645,36.15412919987228,43.837917192583205,42.7635595219634,33.4616459103561,37.560089230861834,37.66016463054829,31.700732303393707,40.37673453226947
international,0.934484696902801,0.23547006995827274,0.18357003890524587,0.5016952393710222,0.805502301395259,0.22759380878868785,0.5717052097426146,0.82503918402244,0.8730453859804946,0.6566097498791529,0.2936162909577557,0.14142135623730953,0.22955399247452205
otherTypesOfSchool,0.43596624211068524,0.3636566427911827,0.41372375679766743,0.4094106141922525,0.418194203702045,0.34141008561676467,0.4329325936339636,0.41605702526920757,0.424692102881811,0.40769120816142357,0.4317650433182137,0.58309518948453,0.371860379502807
sentiment_subjectivity,0.016518232855828614,0.016775254644252252,0.014251630233048082,0.014186793183643784,0.01618843534789265,0.01470165931365575,0.015828317682055174,0.015987261133807572,0.01709054426783043,0.013852835207739857,0.01751304323002073,0.009567734694743799,0.013881229861014413
userConsiderations,1.619922055358772,1.9442855124302487,2.1547517495156643,1.8429611878447603,1.662663356847153,2.1470787339888315,1.990778742100689,1.6829230181613988,1.669377250746808,1.9768163876048355,1.4987363098009572,1.821890697678023,2.228442830051628
vocational,1.535335632476586,1.5044549230151816,1.4057665495510756,1.2638111916588348,1.467260690056225,1.269983126997025,1.5332847622546057,1.474940092295979,1.496588246697714,1.4369580664892363,0.9093664654148254,1.6792855623746663,1.5593176812970713
