economic_category,sentiment_subjectivity_mean,flesch_reading_ease_mean,grammatical_analysis_mean,academic_mean,vocational_mean,userConsiderations_mean,bridging_mean,international_mean,otherTypesOfSchool_mean,sentiment_subjectivity_std,flesch_reading_ease_std,grammatical_analysis_std,academic_std,vocational_std,userConsiderations_std,bridging_std,international_std,otherTypesOfSchool_std
Low-income,0.38148829598687806,49.08448534153918,924.5923076923077,22.27692307692308,11.046153846153846,19.623076923076923,1.6538461538461537,0.17692307692307693,0.4230769230769231,0.016775254644252252,2.298138888902385,40.161015157258404,2.263503071313613,1.5044549230151816,1.9442855124302487,0.8810134024999935,0.23547006995827274,0.3636566427911827
Lower-middle,0.38005603803598936,48.56707008011456,922.1360000000001,21.531999999999996,10.612,19.652,1.32,0.17600000000000002,0.41600000000000004,0.014251630233048082,2.1036576132931124,38.140437376429105,2.095908550739088,1.4057665495510756,2.1547517495156643,0.7623808036643619,0.18357003890524587,0.41372375679766743
Upper-middle,0.3737444805721078,47.2292787957368,922.9407407407408,22.28148148148148,10.47037037037037,19.74814814814815,1.0148148148148148,0.43333333333333335,0.37407407407407406,0.014186793183643784,2.362057399871611,42.31321894578756,2.0931220766960728,1.2638111916588348,1.8429611878447603,0.60669454171452,0.5016952393710222,0.4094106141922525
High-income,0.3687396498921831,45.5652280553014,908.0095238095238,22.374603174603173,9.701587301587303,19.647619047619045,0.9682539682539683,0.9111111111111111,0.473015873015873,0.016518232855828614,2.8602422551114417,36.28648426194197,2.076129172279452,1.535335632476586,1.619922055358772,0.5681961828468588,0.934484696902801,0.43596624211068524
