Feature,H_statistic,Raw_p_value,FDR_p_value,Significant_raw,Significant_FDR,Effect_size_eta_squared,Group_counts,Group_means
flesch_reading_ease,33.960738305548944,2.424242112820509e-06,2.181817901538458e-05,True,True,0.15487025831844356,"[8, 54, 20, 48, 33, 30]","[np.float64(48.510992750518454), np.float64(45.87852192126208), np.float64(47.58137466345105), np.float64(48.95172653144385), np.float64(46.62013627410719), np.float64(47.34125185877862)]"
international,29.02458290514925,2.2931516098969172e-05,0.00010319182244536128,True,True,0.12847370537512967,"[8, 54, 20, 48, 33, 30]","[np.float64(0.15000000000000002), np.float64(0.8074074074074075), np.float64(0.29000000000000004), np.float64(0.20833333333333334), np.float64(0.5636363636363637), np.float64(0.5)]"
bridging,25.040647158023894,0.00013683822056145245,0.0004105146616843574,True,True,0.10716923613916521,"[8, 54, 20, 48, 33, 30]","[np.float64(1.175), np.float64(0.8777777777777779), np.float64(1.2), np.float64(1.5708333333333335), np.float64(1.0121212121212122), np.float64(1.1733333333333333)]"
sentiment_subjectivity,19.716962599123008,0.0014121331330593373,0.003177299549383509,True,True,0.07870033475466849,"[8, 54, 20, 48, 33, 30]","[np.float64(0.38072463157231773), np.float64(0.3700441026496038), np.float64(0.37939647360581474), np.float64(0.38154595549717757), np.float64(0.37010642320760584), np.float64(0.3730157198023564)]"
grammatical_analysis,18.76271609419692,0.0021278433269980917,0.003830117988596565,True,True,0.07359741226843274,"[8, 54, 20, 48, 33, 30]","[np.float64(937.4749999999999), np.float64(904.8703703703703), np.float64(898.32), np.float64(930.1125000000001), np.float64(925.5696969696968), np.float64(922.3733333333332)]"
vocational,9.949696568904706,0.0766731835832594,0.11500977537488911,False,False,0.026468965609116074,"[8, 54, 20, 48, 33, 30]","[np.float64(10.95), np.float64(10.185185185185185), np.float64(10.319999999999999), np.float64(10.870833333333332), np.float64(10.212121212121213), np.float64(9.720000000000002)]"
otherTypesOfSchool,3.5694568882360027,0.6129049627982031,0.7880206664548325,False,False,0.0,"[8, 54, 20, 48, 33, 30]","[np.float64(0.45), np.float64(0.3962962962962963), np.float64(0.37000000000000005), np.float64(0.4458333333333333), np.float64(0.3939393939393939), np.float64(0.5)]"
academic,2.54909561599062,0.7690837018334941,0.8652191645626809,False,False,0.0,"[8, 54, 20, 48, 33, 30]","[np.float64(22.175), np.float64(22.107407407407408), np.float64(21.89), np.float64(22.066666666666663), np.float64(22.636363636363633), np.float64(21.779999999999998)]"
userConsiderations,1.3220673758085788,0.9326446647043555,0.9326446647043555,False,False,0.0,"[8, 54, 20, 48, 33, 30]","[np.float64(19.425), np.float64(19.38148148148148), np.float64(19.59), np.float64(19.849999999999998), np.float64(20.03030303030303), np.float64(19.64666666666667)]"
