Feature,H_statistic,Raw_p_value,FDR_p_value,Significant_raw,Significant_FDR,Effect_size_eta_squared,Group_counts,Group_means
international,66.78158752636287,2.0854223064230103e-14,1.8768800757807095e-13,True,True,0.33746871707070303,"[26, 50, 54, 63]","[np.float64(0.12692307692307694), np.float64(0.17466666666666664), np.float64(0.3574074074074074), np.float64(0.9634920634920634)]"
flesch_reading_ease,46.78308819195104,3.8651672211989676e-10,1.7393252495395356e-09,True,True,0.2316565512801642,"[26, 50, 54, 63]","[np.float64(48.60191486794843), np.float64(48.415964488673126), np.float64(47.161467024533856), np.float64(45.39073199516049)]"
vocational,27.123731921805803,5.5459856959705e-06,1.4220072239438165e-05,True,True,0.12763879323706773,"[26, 50, 54, 63]","[np.float64(10.842307692307694), np.float64(10.584000000000001), np.float64(10.44814814814815), np.float64(9.652380952380954)]"
bridging,26.40909201509174,7.82986055828771e-06,1.4220072239438165e-05,True,True,0.12385762970948011,"[26, 50, 54, 63]","[np.float64(1.5115384615384617), np.float64(1.2124444444444444), np.float64(1.0407407407407407), np.float64(0.9396825396825398)]"
sentiment_subjectivity,26.390592875955804,7.900040133021203e-06,1.4220072239438165e-05,True,True,0.12375975066643283,"[26, 50, 54, 63]","[np.float64(0.37997141467190365), np.float64(0.37781548444173346), np.float64(0.3714326233385129), np.float64(0.3670749673378457)]"
grammatical_analysis,11.68628213505178,0.00853885797757463,0.012808286966361944,True,True,0.0459591647357237,"[26, 50, 54, 63]","[np.float64(936.4153846153846), np.float64(929.1266666666666), np.float64(931.2592592592592), np.float64(914.0555555555554)]"
academic,2.649682843538264,0.4488459996351579,0.5770877138166316,False,False,0.0,"[26, 50, 54, 63]","[np.float64(22.23076923076923), np.float64(22.25066666666667), np.float64(22.49814814814815), np.float64(22.633333333333336)]"
userConsiderations,2.1525190571414057,0.5413610808771514,0.6090312159867953,False,False,0.0,"[26, 50, 54, 63]","[np.float64(19.842307692307692), np.float64(19.54377777777778), np.float64(19.920370370370367), np.float64(19.77619047619048)]"
otherTypesOfSchool,0.931306677194661,0.817866962098717,0.817866962098717,False,False,0.0,"[26, 50, 54, 63]","[np.float64(0.3538461538461538), np.float64(0.35444444444444445), np.float64(0.3370370370370371), np.float64(0.39682539682539675)]"
