geographical_category,sentiment_subjectivity_mean,flesch_reading_ease_mean,grammatical_analysis_mean,academic_mean,vocational_mean,userConsiderations_mean,bridging_mean,international_mean,otherTypesOfSchool_mean,sentiment_subjectivity_std,flesch_reading_ease_std,grammatical_analysis_std,academic_std,vocational_std,userConsiderations_std,bridging_std,international_std,otherTypesOfSchool_std
South Asia,0.38072463157231773,48.510992750518454,937.475,22.175,10.95,19.425,1.175,0.15000000000000002,0.45,0.009567734694743799,2.1550439807163273,31.700732303393707,3.0844077921979505,1.6792855623746663,1.821890697678023,0.8447315719040154,0.14142135623730953,0.58309518948453
Europe/CA/NA,0.37036121732718097,45.93037615278203,903.5807692307692,21.98846153846154,10.288461538461538,19.403846153846153,0.8807692307692307,0.7461538461538461,0.37692307692307697,0.017331197129346693,2.816096390729556,33.32175311668385,1.8336349676449062,1.4027499387448097,1.6861560342820294,0.6559048417168698,0.8059731758445783,0.42037116401514146
MENA,0.37939647360581474,47.58137466345105,898.32,21.89,10.32,19.59,1.2,0.29,0.37,0.01751304323002073,3.416586210873558,37.66016463054829,1.8069747908415446,0.9093664654148254,1.4987363098009572,0.6488856845230502,0.2936162909577557,0.4317650433182137
Sub-Saharan Africa,0.38154595549717757,48.95172653144385,930.1125000000001,22.066666666666666,10.870833333333332,19.849999999999998,1.5708333333333335,0.20833333333333334,0.44583333333333336,0.013881229861014413,2.1059069214012363,40.37673453226947,2.1754269166082194,1.5593176812970713,2.228442830051628,0.8220261251046769,0.22955399247452205,0.371860379502807
LAC,0.3701064232076058,46.62013627410719,925.5696969696969,22.636363636363637,10.212121212121213,20.03030303030303,1.012121212121212,0.5636363636363637,0.3939393939393939,0.013852835207739857,2.4332784939866174,37.560089230861834,2.1496828518728903,1.4369580664892363,1.9768163876048355,0.589362778641886,0.6566097498791529,0.40769120816142357
East Asia/Pacific,0.3730157198023564,47.34125185877861,922.3733333333333,21.779999999999998,9.72,19.646666666666665,1.1733333333333333,0.5,0.5,0.015987261133807572,2.4052280756024333,42.7635595219634,2.249505692828753,1.474940092295979,1.6829230181613988,0.5085024214727775,0.82503918402244,0.41605702526920757
,0.3617991210325999,44.530311901743396,938.4000000000001,25.2,7.5,18.8,0.8,2.4,0.9,0.00452951816332644,2.8025127089084094,19.516147160748687,3.959797974644667,1.8384776310850237,1.4142135623730951,0.0,1.4142135623730951,0.14142135623730948
