Domain,Economic,Economic,Economic,Economic,Educational,Educational,Educational,Geographical,Geographical,Geographical,Geographical,Geographical,Geographical
Group,High-income,Low-income,Lower-middle,Upper-middle,High (>90%),Low (<50%),Medium (50-90%),East Asia/Pacific,Europe/CA/NA,LAC,MENA,South Asia,Sub-Saharan Africa
Feature,,,,,,,,,,,,,
academic,22.374603174603173,22.27692307692308,21.531999999999996,22.28148148148148,22.144444444444446,21.435714285714287,22.33866666666667,21.779999999999998,21.98846153846154,22.636363636363637,21.89,22.175,22.066666666666666
bridging,0.9682539682539683,1.6538461538461537,1.32,1.0148148148148148,1.02,1.657142857142857,1.1546666666666665,1.1733333333333333,0.8807692307692307,1.012121212121212,1.2,1.175,1.5708333333333335
flesch_reading_ease,45.5652280553014,49.08448534153918,48.56707008011456,47.2292787957368,46.27716421492467,49.50872244641737,47.65802049995488,47.34125185877861,45.93037615278203,46.62013627410719,47.58137466345105,48.510992750518454,48.95172653144385
grammatical_analysis,908.0095238095238,924.5923076923077,922.1360000000001,922.9407407407408,913.0533333333334,917.3571428571429,924.384,922.3733333333333,903.5807692307692,925.5696969696969,898.32,937.475,930.1125000000001
international,0.9111111111111111,0.17692307692307693,0.17600000000000002,0.43333333333333335,0.6644444444444444,0.19285714285714287,0.38666666666666666,0.5,0.7461538461538461,0.5636363636363637,0.29,0.15000000000000002,0.20833333333333334
otherTypesOfSchool,0.473015873015873,0.4230769230769231,0.41600000000000004,0.37407407407407406,0.42888888888888893,0.37857142857142856,0.4346666666666667,0.5,0.37692307692307697,0.3939393939393939,0.37,0.45,0.44583333333333336
sentiment_subjectivity,0.3687396498921831,0.38148829598687806,0.38005603803598936,0.3737444805721078,0.3716150029556247,0.37910555874749247,0.3769865544083152,0.3730157198023564,0.37036121732718097,0.3701064232076058,0.37939647360581474,0.38072463157231773,0.38154595549717757
userConsiderations,19.647619047619045,19.623076923076923,19.652,19.74814814814815,19.593333333333334,19.657142857142855,19.776,19.646666666666665,19.403846153846153,20.03030303030303,19.59,19.425,19.849999999999998
vocational,9.701587301587303,11.046153846153846,10.612,10.47037037037037,10.02,10.821428571428571,10.528,9.72,10.288461538461538,10.212121212121213,10.32,10.95,10.870833333333332
