,sentiment_subjectivity,flesch_reading_ease,grammatical_analysis,academic,vocational,userConsiderations,bridging,international,otherTypesOfSchool
count,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0
mean,0.3747891061738842,47.282593499168506,918.0808290155439,22.117098445595857,10.333678756476683,19.673575129533678,1.1647668393782384,0.48808290155440426,0.4238341968911918
std,0.016054886375472893,2.7994396895488523,39.37800379199645,2.124011504315907,1.4921165896465483,1.8612764901302472,0.7161835138854514,0.6821480727023548,0.41237600847545497
min,0.3258370181921247,37.87392803629304,832.6,17.0,6.2,15.2,0.0,0.0,0.0
25%,0.3650019740413957,45.36355306491994,890.8,20.6,9.4,18.4,0.6,0.0,0.0
50%,0.3756013644041706,47.63162577149729,914.0,22.0,10.4,19.6,1.0,0.2,0.4
75%,0.3856686201268553,49.292963238102416,947.2,23.4,11.2,20.6,1.6,0.6,0.6
max,0.4153922122437747,53.13929315354351,1020.0,29.0,14.6,26.2,3.4,3.4,2.0
