Domain,Group,Feature,N,Mean,Std,Min,Max,Median,CV
Economic,Low-income,sentiment_subjectivity,26,0.38148829598687806,0.016775254644252252,0.3481421988260517,0.4153922122437747,0.3842318815606367,0.04397318298024343
Economic,Low-income,flesch_reading_ease,26,49.08448534153918,2.298138888902385,43.89477258923208,52.9149455875578,49.25950550091912,0.04682006692973345
Economic,Low-income,grammatical_analysis,26,924.5923076923077,40.161015157258404,851.8,1017.8,929.8,0.0434364582347612
Economic,Low-income,academic,26,22.27692307692308,2.263503071313613,18.6,29.0,21.6,0.10160752737250332
Economic,Low-income,vocational,26,11.046153846153846,1.5044549230151816,8.0,14.6,11.0,0.13619717269636045
Economic,Low-income,userConsiderations,26,19.623076923076923,1.9442855124302487,16.4,23.8,19.5,0.09908158236610441
Economic,Low-income,bridging,26,1.6538461538461537,0.8810134024999935,0.0,3.4,1.8,0.53270577825581
Economic,Low-income,international,26,0.17692307692307693,0.23547006995827274,0.0,1.0,0.1,1.3309177867206718
Economic,Low-income,otherTypesOfSchool,26,0.4230769230769231,0.3636566427911827,0.0,1.6,0.4,0.8595520647791591
Economic,Lower-middle,sentiment_subjectivity,50,0.38005603803598936,0.014251630233048082,0.3325509848773669,0.4106417906941974,0.38183093454157424,0.03749876020045898
Economic,Lower-middle,flesch_reading_ease,50,48.56707008011456,2.1036576132931124,44.52772855708773,52.94295927132894,48.616887162190025,0.043314484687319854
Economic,Lower-middle,grammatical_analysis,50,922.1360000000001,38.140437376429105,843.2,1000.0,915.3,0.04136096777094604
Economic,Lower-middle,academic,50,21.531999999999996,2.095908550739088,17.0,26.8,21.1,0.09733924162823186
Economic,Lower-middle,vocational,50,10.612,1.4057665495510756,8.8,13.8,10.3,0.1324695203120124
Economic,Lower-middle,userConsiderations,50,19.652,2.1547517495156643,16.4,26.2,19.4,0.10964541774453818
Economic,Lower-middle,bridging,50,1.32,0.7623808036643619,0.0,3.0,1.2,0.5775612148972439
Economic,Lower-middle,international,50,0.17600000000000002,0.18357003890524587,0.0,0.6,0.2,1.043011584688897
Economic,Lower-middle,otherTypesOfSchool,50,0.41600000000000004,0.41372375679766743,0.0,2.0,0.30000000000000004,0.9945282615328543
Economic,Upper-middle,sentiment_subjectivity,54,0.3737444805721078,0.014186793183643784,0.3379630477764718,0.4004261086463782,0.3748557340765428,0.03795853563356283
Economic,Upper-middle,flesch_reading_ease,54,47.2292787957368,2.362057399871611,41.047333075997166,53.13929315354351,47.55483272158726,0.0500125655123242
Economic,Upper-middle,grammatical_analysis,54,922.9407407407408,42.31321894578756,835.0,1020.0,923.5,0.04584608423703075
Economic,Upper-middle,academic,54,22.28148148148148,2.0931220766960728,18.8,26.8,22.299999999999997,0.0939399868198038
Economic,Upper-middle,vocational,54,10.47037037037037,1.2638111916588348,8.0,13.6,10.6,0.12070358038481975
Economic,Upper-middle,userConsiderations,54,19.74814814814815,1.8429611878447603,15.2,25.8,19.6,0.09332324094487719
Economic,Upper-middle,bridging,54,1.0148148148148148,0.60669454171452,0.0,2.6,1.0,0.5978376870909503
Economic,Upper-middle,international,54,0.43333333333333335,0.5016952393710222,0.0,2.4,0.4,1.1577582447023589
Economic,Upper-middle,otherTypesOfSchool,54,0.37407407407407406,0.4094106141922525,0.0,1.4,0.30000000000000004,1.0944640181377048
Economic,High-income,sentiment_subjectivity,63,0.3687396498921831,0.016518232855828614,0.3258370181921247,0.4104317421157059,0.3684879288476657,0.04479646509578894
Economic,High-income,flesch_reading_ease,63,45.5652280553014,2.8602422551114417,37.87392803629304,52.5920186352285,45.36355306491994,0.06277247754888961
Economic,High-income,grammatical_analysis,63,908.0095238095238,36.28648426194197,832.6,1008.4,905.6,0.03996266923468295
Economic,High-income,academic,63,22.374603174603173,2.076129172279452,18.2,28.0,22.4,0.09278954161010604
Economic,High-income,vocational,63,9.701587301587303,1.535335632476586,6.2,14.2,9.6,0.15825612703865333
Economic,High-income,userConsiderations,63,19.647619047619045,1.619922055358772,16.0,23.4,19.8,0.08244877160090698
Economic,High-income,bridging,63,0.9682539682539683,0.5681961828468588,0.0,2.8,0.8,0.5868255658910181
Economic,High-income,international,63,0.9111111111111111,0.934484696902801,0.0,3.4,0.6,1.0256539356250256
Economic,High-income,otherTypesOfSchool,63,0.473015873015873,0.43596624211068524,0.0,1.6,0.4,0.9216735990930595
Geographical,South Asia,sentiment_subjectivity,8,0.38072463157231773,0.009567734694743799,0.3644520480525915,0.3977095569129268,0.38144691400515607,0.02513032754206351
Geographical,South Asia,flesch_reading_ease,8,48.510992750518454,2.1550439807163273,44.92811930848125,52.10372945330156,48.33648199147933,0.04442382764251502
Geographical,South Asia,grammatical_analysis,8,937.475,31.700732303393707,889.0,972.6,940.8,0.033815016190718375
Geographical,South Asia,academic,8,22.175,3.0844077921979505,18.2,26.8,21.5,0.13909392524004285
Geographical,South Asia,vocational,8,10.95,1.6792855623746663,9.0,13.6,10.6,0.15335941208901063
Geographical,South Asia,userConsiderations,8,19.425,1.821890697678023,16.6,22.6,19.200000000000003,0.09379102690749153
