Feature,H_statistic,Raw_p_value,FDR_p_value,Significant_raw,Significant_FDR,Effect_size_eta_squared,Group_counts,Group_means
flesch_reading_ease,29.39014496071377,4.1496465859383665e-07,3.73468192734453e-06,True,True,0.1441586576879672,"[28, 75, 90]","[np.float64(49.508722446417366), np.float64(47.65802049995489), np.float64(46.27716421492467)]"
international,16.801236529328005,0.00022472833962726551,0.001011277528322695,True,True,0.07790124489120002,"[28, 75, 90]","[np.float64(0.1928571428571429), np.float64(0.3866666666666667), np.float64(0.6644444444444445)]"
bridging,13.039357131429217,0.0014741428662667178,0.0044224285988001535,True,True,0.05810187963910114,"[28, 75, 90]","[np.float64(1.657142857142857), np.float64(1.1546666666666667), np.float64(1.02)]"
vocational,7.859349803400188,0.01965005971578783,0.04421263436052262,True,True,0.030838683175790464,"[28, 75, 90]","[np.float64(10.821428571428571), np.float64(10.527999999999997), np.float64(10.020000000000001)]"
sentiment_subjectivity,6.880321767508349,0.032059527055861015,0.057707148700549826,True,False,0.025685904039517624,"[28, 75, 90]","[np.float64(0.3791055587474924), np.float64(0.3769865544083153), np.float64(0.3716150029556247)]"
academic,3.2234196971523117,0.19954612855029288,0.2932978020440008,False,False,0.006439051037643746,"[28, 75, 90]","[np.float64(21.435714285714287), np.float64(22.33866666666667), np.float64(22.144444444444446)]"
grammatical_analysis,2.9557624503822204,0.2281205127008895,0.2932978020440008,False,False,0.0050303286862222124,"[28, 75, 90]","[np.float64(917.3571428571428), np.float64(924.384), np.float64(913.0533333333332)]"
userConsiderations,0.22778678092556456,0.8923530841608646,0.9731178176971061,False,False,0.0,"[28, 75, 90]","[np.float64(19.657142857142855), np.float64(19.775999999999996), np.float64(19.59333333333333)]"
otherTypesOfSchool,0.05450023415838249,0.9731178176971061,0.9731178176971061,False,False,0.0,"[28, 75, 90]","[np.float64(0.37857142857142856), np.float64(0.4346666666666667), np.float64(0.42888888888888893)]"
